Sentence,Noun,Pronoun
"His stab was pierced, he had to interrupt his dive.","['stab', 'dive']","['His', 'he', 'his']"
You need a lot of strenght to bend a bow.,"['lot', 'strenght', 'bow']",['You']
"Tonight, they (girls) gather to play poker.","['Tonight', 'girls', 'poker']",['they']
They (girls) are not very good at grammar.,"['girls', 'grammar']",['They']
He can conjugate only in the present tense.,['tense'],['He']
What is the past tense which is the most used in this language ?,"['tense', 'language']","['What', 'which']"
"In this exercice, you have to put the verbs in the futur tense.","['exercice', 'verbs', 'futur']",['you']
This is a qualifying adjective.,['adjective'],['This']
Adverbs qualify verbs.,"['Adverbs', 'verbs']",[]
"Finish your sentences, you speak too quickly.",['sentences'],"['your', 'you']"
Our literature teacher recommanded that we read this book.,"['literature', 'teacher', 'book']","['Our', 'we']"
The author of this text is unknown.,"['author', 'text']",[]
This poem was an instantaneous success.,"['poem', 'success']",[]
This poem has been writen by a little-known poet.,"['poem', 'poet']",[]
Those are the most famous lines of this poet.,"['lines', 'poet']",['Those']
"Ten lines in, I gave up reading this book.","['lines', 'book']",['I']
I have only three pages left to read.,['pages'],['I']
We are looking for a translator who could translate from English to Italian.,['translator'],"['We', 'who']"
Translating poems does not make much sense.,"['poems', 'sense']",[]
The translation of this book took a year.,"['translation', 'book', 'year']",[]
Their son loves celtic legends.,"['son', 'legends']",['Their']
Their parents read them fairy tales when they were young.,"['parents', 'fairy', 'tales']","['Their', 'them', 'they']"
The moral of this fable is ambiguous.,"['moral', 'fable']",[]
"In general, the biographies of politicians are best sellers.","['biographies', 'politicians', 'sellers']",[]
His last novel was not edited.,['novel'],['His']
You make too many grammar mistakes.,"['grammar', 'mistakes']",['You']
You have made three spelling mistakes in your dictation.,"['spelling', 'mistakes', 'dictation']","['You', 'your']"
"This afternoon, he has to do a composition for his French teacher.","['afternoon', 'composition', 'teacher']","['he', 'his']"
He got an F in dictation again.,"['F', 'dictation']",['He']
Sentences end with a full stop.,"['Sentences', 'stop']",[]
"After a semicolon, you have to write a small letter.","['semicolon', 'letter']",['you']
Breath at the comma.,"['Breath', 'comma']",[]
"In French, you have to write a capital letter after a question mark.","['capital', 'letter', 'question']",['you']
I do not know if I have to write an exclamation mark.,"['exclamation', 'mark']","['I', 'I']"
There is an apostrophe missing between the L and the a.,"['apostrophe', 'a.']",['There']
There is no accent on the a.,"['accent', 'a.']",['There']
Do not forget to write an acute accent on the e.,['accent'],[]
"I have to write a grave accent on the e of this e, haven't I ?","['accent', 'e', 'e']","['I', 'I']"
"In this word, there is a circumflex accent on the a.","['word', 'accent', 'a.']",['there']
You have to put this expression in quotation marks.,"['expression', 'quotation', 'marks']",['You']
Put this comment in parentheses.,"['comment', 'parentheses']",[]
"In French, the names of nationalities start with a lower case letter.","['names', 'nationalities', 'case']",[]
Sentences begin with a capital letter.,"['Sentences', 'capital', 'letter']",[]
I need to finish writing this paragraph before going to bed.,"['paragraph', 'bed']",['I']
There is a very good article on the economic crisis on today's newspaper.,"['article', 'crisis', 'today']",['There']
I have subscribed to this newspaper since last year.,"['newspaper', 'year']",['I']
This review comes by the mail on Saturdays.,"['review', 'mail']",[]
This monthly newspaper is originally a student project.,"['newspaper', 'student', 'project']",[]
This is a weekly review.,['review'],['This']
This newspaper is the best selling dailypaper of the country.,"['newspaper', 'selling', 'dailypaper']",[]
The evening edition is just out.,"['evening', 'edition']",[]
Start on the next line to begin a new paragraph.,"['line', 'paragraph']",[]
The correction of his text took hours.,"['correction', 'text', 'hours']",['his']
The train arrives in two hours.,"['train', 'hours']",[]
It only took him two minutes to realize he made a mistake.,"['minutes', 'mistake']","['It', 'him', 'he']"
He runs the 100-metre dash in ten seconds only.,"['metre', 'dash', 'seconds']",['He']
Do you know the opening hours of the swimming pool ?,"['opening', 'hours', 'swimming']",['you']
I arrive in a moment.,['moment'],['I']
Do you know what time it is ?,['time'],"['you', 'what', 'it']"
"A decade later, he had not changed.",['decade'],['he']
This writer lived during the eighteenth century.,"['writer', 'century']",[]
We are at the beginning of the third millenium.,"['beginning', 'millenium']",['We']
How great is it that the weekend is finally here !,['weekend'],['it']
He did not come at the finals of the second term.,"['finals', 'term']",['He']
The results of the first quarter were not good.,"['results', 'quarter']",[]
The wedding lasted for three days.,"['wedding', 'days']",[]
He spent his day working.,['day'],"['He', 'his']"
The image was on screen for a few milliseconds only.,"['image', 'screen', 'milliseconds']",[]
There is one million microseconds in one second.,"['microseconds', 'second']",['There']
There is one billion nanoseconds in one second.,"['nanoseconds', 'second']",['There']
This is the first year of the project.,"['year', 'project']",['This']
He traveled thirty kilometers in one day.,"['kilometers', 'day']",['He']
One league is worth four kilometers.,"['league', 'kilometers']",[]
One mile is worth a little more than one kilometer.,"['mile', 'kilometer']",[]
He is almost two meters high.,['meters'],['He']
The snail only covered few centimeters in an hour.,"['snail', 'centimeters', 'hour']",[]
He missed his target by a few millimeters.,"['target', 'millimeters']","['He', 'his']"
The first star is at three light years from the Earth.,"['star', 'years']",[]
We own three hectares of vineyard.,"['hectares', 'vineyard']",['We']
One are is worth a hundred meters square.,['meters'],[]
His blood alcohol content is four grams.,"['blood', 'alcohol', 'content']",['His']
The baby weighs two kilograms only.,"['baby', 'kilograms']",[]
This elephant weighs almost six tons.,"['elephant', 'tons']",[]
How many pounds are there in a kilogram ?,"['pounds', 'kilogram']",[]
"A pint of beer, please.","['pint', 'beer']",[]
The price of the oil barrel has been rising is this month.,"['price', 'oil', 'barrel']",[]
Could you buy one or two liters of milk ?,"['liters', 'milk']",['you']
One gallon is worth a little less than four liters.,"['gallon', 'liters']",[]
The globe temperature might increase of two degrees.,"['globe', 'temperature', 'degrees']",[]
The angles of an equilateral triangle measures 60 degrees.,"['angles', 'triangle', 'measures']",[]
,[],[]
Mach 1 corresponds to the speed of sound.,"['speed', 'sound']",[]
He underwent an acceleration of 3G at the lift-off.,"['acceleration', 'G', 'lift']",['He']
He is six feet high.,['feet'],['He']
He is three feet six inches high.,"['feet', 'inches']",['He']
Air pressure can be measured thanks to a barometer.,"['Air', 'pressure', 'thanks']",[]
Ambient temperature can be measured thanks to a thermometer.,"['temperature', 'thanks', 'thermometer']",[]
I need to measure the dimensions of this piece of furniture.,"['dimensions', 'piece', 'furniture']",['I']
I have let my wallet fall down in the metro.,"['wallet', 'metro']","['I', 'my']"
This is a scam for tourists.,"['scam', 'tourists']",['This']
A complaint has been filed for the theft of his cellphone.,"['complaint', 'theft', 'cellphone']",['his']
Banks do not lend money anymore these days.,"['Banks', 'money', 'days']",[]
"The exchange rate is attractive these days, you have to change your euros.","['exchange', 'rate', 'days']","['you', 'your']"
The government decided to increase the taxes on cigarettes.,"['government', 'taxes', 'cigarettes']",[]
"I do not have any change, I only have bank notes.","['change', 'bank', 'notes']","['I', 'I']"
We collect old coins.,['coins'],['We']
The bureau de change takes a very high commission.,"['bureau', 'change', 'commission']",[]
Prices increase because of the inflation.,"['Prices', 'inflation']",[]
They are currently negotiating the selling of the company.,"['selling', 'company']",['They']
I am selling my car at a very reasonnable price.,"['car', 'price']","['I', 'my']"
They bought a house last year.,"['house', 'year']",['They']
They get a commission on the sales.,"['commission', 'sales']",['They']
The sales dropped off last month.,"['sales', 'month']",[]
The devaluation of the currency led to the collapse of the economy.,"['devaluation', 'currency', 'collapse']",[]
Their rent is high because they live downtown.,"['rent', 'downtown']","['Their', 'they']"
They do not manage to pay their bills.,['bills'],"['They', 'their']"
The former government was profoundly corrupted.,['government'],[]
He got a fine for parking his car on a « no parking » area.,"['fine', 'car', 'parking']","['He', 'his']"
His credit card has been eaten by the ATM.,"['credit', 'card']",['His']
"I have to withdraw some cash, my wallet is empty.","['cash', 'wallet']","['I', 'my']"
A guard is watching the entrance of the bank.,"['guard', 'entrance', 'bank']",[]
A commissioner is in charge of the investigation.,"['commissioner', 'charge', 'investigation']",[]
The arrest of the banker has been made descreetly.,"['arrest', 'banker']",[]
There has been a burglary in the flat last summer.,"['burglary', 'summer']",['There']
The hacking of banks data is a flourishing industry.,"['hacking', 'banks', 'data']",[]
"As he trusted him, he made him a blank cheque.",['cheque'],"['he', 'him', 'he']"
He filed a complaint after his appartment has been robbed.,"['complaint', 'appartment']","['He', 'his']"
The police station is open at night.,"['police', 'station', 'night']",[]
He does not have any weapon on him.,['weapon'],"['He', 'him']"
"When you are threatened with a gun, you do not try to defend yourself.",['gun'],"['you', 'you', 'yourself']"
She has been threatened with a knife so that they could steal her purse.,"['knife', 'purse']","['She', 'they', 'her']"
I am not sure this is a legal business.,['business'],"['I', 'this']"
This plant is still illegal.,['plant'],[]
Aggressions happen more and more often in this town.,"['Aggressions', 'town']",[]
The thief managed to escape.,['thief'],[]
The security of this building is maintained by a guardian.,"['security', 'building', 'guardian']",[]
Insecurity is one of the main themes of this campaign.,"['Insecurity', 'themes', 'campaign']",[]
It is dangerous to go for a walk here at night.,"['walk', 'night']",['It']
The danger is not completely passed.,['danger'],[]
The police do not come in this neighborhood anymore.,"['police', 'neighborhood']",[]
The policemen have made a blunder.,"['policemen', 'blunder']",[]
He was handcuffed during his arrestation.,['arrestation'],"['He', 'his']"
He got a blow with a baton during a confrontation with the police.,"['blow', 'baton', 'confrontation']",['He']
The ATM is out of order.,['order'],[]
The baker has to give me my change back.,"['baker', 'change']","['me', 'my']"
Always check that people do not give you a fake note back.,"['people', 'note']",['you']
"The book was too expensive, I could not buy it.",['book'],"['I', 'it']"
This swimming pool is very cheap.,"['swimming', 'pool']",[]
"In France, people like cheese.","['people', 'cheese']",[]
French people often go on holiday.,"['people', 'holiday']",[]
England won the last rugby match.,"['rugby', 'match']",[]
English people like French gastronomy.,"['people', 'gastronomy']",[]
The United States announced new economic measures to curb the crisis.,"['measures', 'crisis']",[]
The phone has been invented by an American.,['phone'],[]
He spends his holidays in Spain this year.,"['holidays', 'year']","['He', 'his']"
The Spanish government became unpopular due to the crisis.,"['government', 'crisis']",[]
He studied in Italy for one year.,['year'],['He']
They met two Italians in the bus.,['bus'],['They']
Brazil announced the discovery of a new oil slick.,"['discovery', 'oil', 'slick']",[]
Brazilian people are worried by the fate of the Amazone Rainforest.,"['people', 'fate']",[]
Russia vetoed the proposals of the last UN Security Council meeting.,"['proposals', 'meeting']",[]
Russians are among the biggest arm dealers in the world.,"['arm', 'dealers', 'world']",[]
China has become a big holiday destination for tourists.,"['holiday', 'destination', 'tourists']",[]
The Chinese protest against their work conditions.,"['protest', 'work', 'conditions']",['their']
Japan is located in a seismic region.,['region'],[]
The Japanese are in conflict with the European Union concerning whale hunting.,"['conflict', 'hunting']",[]
India is in full economic expansion.,['expansion'],[]
"Among tourists, there are more and more Indian people visiting Paris.","['tourists', 'people']",['there']
They have worked in Australia for three years.,['years'],['They']
He picked up two Australians who were hitchhiking,[],"['He', 'who']"
Dryness is rife in East Africa.,[],[]
The Africans criticized French interventionism.,['interventionism'],[]
Asia is fascinating to him.,[],['him']
A lot of Asian people live in this neighborhood.,"['lot', 'people', 'neighborhood']",[]
He traveled in Europe mostly.,[],['He']
The countries of the European Union are having a hard time to agree on the economic measures they have to take.,"['countries', 'time', 'measures']",['they']
He went round South America in two years.,['years'],['He']
The colonization of North America expanded rapidly during the seventeenth century.,"['colonization', 'century']",[]
The Mahgreb imports large amounts of cereals.,"['amounts', 'cereals']",[]
Middle East is one of the cradles of civilization.,"['cradles', 'civilization']",[]
The peace process in Middle East is the subject of this UN meeting.,"['peace', 'process', 'subject']",[]
Mexico is the second economy of Latin America.,['economy'],[]
Mexican people eat a lot of spiced food.,"['people', 'lot', 'food']",[]
Canada is one of the countries which is the most affected by the climate change.,"['countries', 'climate', 'change']",['which']
The Canadians are very keen on hockey.,['hockey'],[]
Germany is the first European economic power.,['power'],[]
There are mostly German people in this residence hall.,"['people', 'residence', 'hall']",['There']
South Africa hosted the 2008 Football World Cup.,[],[]
The South Africans defeated the French at rugby.,['rugby'],[]
The last soldiers should leave Afghanistan soon.,['soldiers'],[]
Most of the Afghan people do not know the reasons of the Western occupation.,"['people', 'reasons', 'occupation']",[]
Lybia is a desert country.,"['desert', 'country']",[]
Lybians should elect their first government next year.,"['Lybians', 'government', 'year']",['their']
The rebellion in Syria does not weaken.,['rebellion'],[]
The Syrians are determined to overthrow their government.,['government'],['their']
Israel's population is mainly composed of Jewish people.,"['population', 'people']",[]
Israelis are demanding more social justice.,['justice'],[]
The Arabs are asking for more democracy.,['democracy'],[]
Argentina got into a default in payment in 2001.,"['default', 'payment']",[]
Argentinian people are in favor of an interventionist economic policy.,"['people', 'favor', 'policy']",[]
Colombia is one of the only countries in South America which houses American military bases.,"['countries', 'bases']",['which']
I have chatted with some Colombians at the bus stop for an hour.,"['bus', 'stop', 'hour']",['I']
The Sumerian civilization used to occupy the actual Iraq.,['civilization'],[]
Iraqis are in favor of the evacuation of the American troops.,"['favor', 'evacuation', 'troops']",[]
Diplomatic relationships between Pakistan and the United States are tense.,['relationships'],[]
Pakistani people have an important economic role in this city.,"['people', 'role', 'city']",[]
Peru openly supported Argentina during the Falklands War.,[],[]
Peruvian people are composed of several Andean people.,"['people', 'people']",[]
Chile is a South American country.,['country'],[]
Chilean people have a very particular accent.,"['people', 'accent']",[]
He spent three months in Vietnam.,['months'],['He']
Vietnamese people are disliked in Cambodia.,['people'],[]
The capital of Portugal is Lisboa.,['capital'],[]
The Portuguese have a very high public debt.,['debt'],[]
Thailand is hit by torrential rain.,['rain'],[]
Thai people have never been colonized.,['people'],[]
Tibet is still occupied by China.,[],[]
Tibetans claim for more freedom.,['freedom'],[]
Taiwan is a never-ending tense subject between China and the United States.,['subject'],[]
Taiwanese people work a lot.,"['people', 'lot']",[]
The border between Cambodia and Thailand was the scene of violent confrontations.,"['border', 'scene', 'confrontations']",[]
The Cambodians did not forget the Khmer Rouge era.,['era'],[]
Burma is showing signs of opening up to the outside world.,"['signs', 'opening', 'world']",[]
Burmese people want more democracy.,"['people', 'democracy']",[]
Nigeria has important hydrocarbon ressources.,"['hydrocarbon', 'ressources']",[]
The Nigerians speak English.,[],[]
Senegal used to be a French colony.,['colony'],[]
Senegalese people have unusually low salaries in France.,"['people', 'salaries']",[]
Morocco is one of the favorite destinations of French tourists.,"['destinations', 'tourists']",[]
Moroccan people drink a lot of mint tea.,"['people', 'lot', 'mint']",[]
Algeria gained its independence in 1962.,['independence'],['its']
Most Algerians speak good French.,[],[]
Greece is staggering under the weight of recession.,"['weight', 'recession']",[]
The Greeks are demonstrating against austerity plans.,"['austerity', 'plans']",[]
Turkey wants to join the European Union.,[],[]
Turkish people are very welcoming.,['people'],[]
Palestine officially applied for its UN membership.,['membership'],['its']
Palestinian people want to be heard.,['people'],[]
Switzerland stayed neutral during the whole of the war.,"['whole', 'war']",[]
The Swiss generally speak three languages.,['languages'],[]
Holland is a flat country.,['country'],[]
"Generally speaking, the Dutch know a lot of languages","['lot', 'languages']",[]
Indonesia was colonized by the Dutch.,[],[]
The majority of Indonesians is Muslim.,['majority'],[]
New Zealand has qualified for the final.,[],[]
New Zealand won the match by a narrow margin.,"['match', 'margin']",[]
Bangladesh is one of the countries which is the most affected by the rising sea level.,"['countries', 'sea', 'level']",['which']
Bangladeshi are used to power cuts.,"['power', 'cuts']",[]
Antartica is a continent.,['continent'],[]
Rivers are all plunging in the sea.,"['Rivers', 'sea']",['all']
The sky is reddening at the close of the day.,"['sky', 'close', 'day']",[]
The Earth revolves around the Sun.,[],[]
The river flows peacefully.,['river'],[]
The lake is frozen during winters.,"['lake', 'winters']",[]
They crossed the ocean by boat.,"['ocean', 'boat']",['They']
There is not one single cloud in the sky today.,"['cloud', 'sky', 'today']",['There']
Rain has started to fall down.,['Rain'],[]
The fog is clearing away gradually.,['fog'],[]
I think I saw an animal.,['animal'],"['I', 'I']"
Herbivores are eating plants.,"['Herbivores', 'plants']",[]
We have to plant trees to fight global warming.,"['trees', 'warming']",['We']
The cow eats grass.,"['cow', 'grass']",[]
We are going to the mountain every summer.,"['mountain', 'summer']",['We']
The wind blows on the plains.,"['wind', 'plains']",[]
The plateau is located at an altitude of three thousands meters.,"['plateau', 'altitude', 'thousands']",[]
The snow is falling in big flakes.,"['snow', 'flakes']",[]
The hail destroyed the maze crops.,"['hail', 'maze', 'crops']",[]
The wind is rising.,['wind'],[]
The tempest caused a lot of damage.,"['tempest', 'lot', 'damage']",[]
The night falls quickly in the tropics.,"['night', 'tropics']",[]
Day is breaking early today.,"['Day', 'today']",[]
The sun is at its zenith.,"['sun', 'zenith']",['its']
The moon will be full tomorrow.,"['moon', 'tomorrow']",[]
The stars are twinkling intensively tonight.,"['stars', 'tonight']",[]
There are little fish in the brook.,"['fish', 'brook']",['There']
The wheat fields stretch away as far as the eye can see.,"['wheat', 'fields', 'eye']",[]
Is space really infinite ?,['space'],[]
Planets revolve round the Sun.,"['Planets', 'revolve']",[]
The tsunami had devastating consequences.,"['tsunami', 'consequences']",[]
An earthquake devastated the country.,"['earthquake', 'country']",[]
He offered flowers to his neighbor.,"['flowers', 'neighbor']","['He', 'his']"
The ground is damp.,['ground'],[]
You cannot go faster than light.,[],['You']
You have got earth on your shoes.,"['earth', 'shoes']","['You', 'your']"
You have to plant seeds before winter.,"['seeds', 'winter']",['You']
The cold fell suddenly.,['cold'],[]
The fire burnt everything in its path.,"['fire', 'path']","['everything', 'its']"
The lake is covered in ice.,"['lake', 'ice']",[]
Icebergs drift across the ocean.,"['Icebergs', 'drift', 'ocean']",[]
The glaciers are melting quickly.,['glaciers'],[]
The river flows peacefully.,['river'],[]
Summer will go by quickly.,['Summer'],[]
"In autumn, leaves are falling.","['autumn', 'leaves']",[]
Spring is here sooner this year.,"['Spring', 'year']",[]
Winter is particularly harsh this year.,"['Winter', 'year']",[]
"During the dry season, it never rains.",['season'],['it']
The rainy season is about to begin.,['season'],[]
The dog is rolling in a heap of leaves.,"['dog', 'heap', 'leaves']",[]
Swipe the mud off your boots.,"['mud', 'boots']",['your']
The islands are threatened by the water rises.,"['islands', 'water', 'rises']",[]
The continental drift has been discovered during the last century.,"['drift', 'century']",[]
The Atlantic Ocean is between Europe and America.,[],[]
The Pacific is the largest ocean.,['ocean'],[]
The Indian Ocean is overrun with pirates.,"['overrun', 'pirates']",[]
Trading has been developping in the Mediterranean Sea since antiquity.,"['Trading', 'antiquity']",[]
The Andes are a young range of mountains.,"['range', 'mountains']",[]
The highest summit in the world is located in the Himalayas.,"['summit', 'world']",[]
The climate is changing rapidly on the global scale.,"['climate', 'scale']",[]
There are four seasons in this country.,"['seasons', 'country']",['There']
This desert is impassable.,['desert'],[]
The forest provides a habitat for a certain number of species.,"['forest', 'habitat', 'number']",[]
The jungle stretches away as far as the eye can see.,"['jungle', 'eye']",[]
The Amazon is the victim of deforestation.,"['victim', 'deforestation']",[]
The Alps are the biggest range of mountains in Europe.,"['range', 'mountains']",[]
The ice floe is an ice layer which floats on the sea.,"['ice', 'floe', 'ice']",['which']
The melting of the ice floe worries the scientists.,"['melting', 'ice', 'floe']",[]
Snow melts during the thaw.,"['Snow', 'thaw']",[]
Permafrost is a layer of iced ground which is frozen permanently.,"['layer', 'ground']",['which']
Desertification threatens food-producing cultures.,"['Desertification', 'food', 'cultures']",[]
The current takes the craft to the open sea.,"['current', 'craft', 'sea']",[]
The hurricane devastated the area.,"['hurricane', 'area']",[]
There is an animal in the bush.,"['animal', 'bush']",['There']
A shrub is smaller than a tree.,"['shrub', 'tree']",[]
Monkeys leap from branch to branch.,"['Monkeys', 'branch']",[]
The wild boar feeds itself essentially on roots.,"['boar', 'roots']",['itself']
The path is hidden by vegetation.,"['path', 'vegetation']",[]
Hiking paths cover the entire country.,"['Hiking', 'paths', 'country']",[]
The snake is warming itself up on the stones.,"['snake', 'stones']",['itself']
The rocks graze the water surface.,"['rocks', 'water', 'surface']",[]
Sheep fell off the cliff.,"['Sheep', 'cliff']",[]
The dust irritated our throats.,"['dust', 'throats']",['our']
This area is striken by the drought.,"['area', 'drought']",[]
The flood only made material damages.,"['flood', 'material', 'damages']",[]
The floodgates of the dam have been opened.,"['floodgates', 'dam']",[]
This archipelago is a pirates' den.,"['archipelago', 'pirates', 'den']",[]
It is the full moon tonight.,"['moon', 'tonight']",['It']
The cycle of tides has been going on since the dawn of time.,"['cycle', 'tides', 'dawn']",[]
He knows how to recognize the constellations.,['constellations'],['He']
A six-meter wave broke onto the beach.,"['meter', 'wave', 'beach']",[]
The breeze blows softly.,['breeze'],[]
A thin drizzle falls down on the city.,"['drizzle', 'city']",[]
"At dawn, a light dew forms on the leaves.","['dawn', 'dew', 'forms']",[]
The weather is very nice today.,"['weather', 'today']",[]
The local fauna is extraordinarly rich.,['fauna'],[]
"Be careful with this flower, it has thorns on its stem.","['flower', 'thorns', 'stem']","['it', 'its']"
He picked the petals of the flower one by one.,"['petals', 'flower']",['He']
You have to remove the stones of the fruits if you want to make a compote out of it.,"['stones', 'fruits', 'compote']","['You', 'you', 'it']"
Tree trunks floated in the river.,"['Tree', 'trunks', 'river']",[]
Basalt is formed when the lava cools down rapidly.,"['Basalt', 'lava']",[]
You can climb granite blocks.,"['granite', 'blocks']",['You']
You have to identify the minerals in the rock to name it.,"['minerals', 'rock']","['You', 'it']"
There are no impurities in this crystal.,"['impurities', 'crystal']",['There']
Melting rock becomes lava.,"['rock', 'lava']",[]
The Eyjafjöll volcano has erupted.,['volcano'],[]
The erosion has sculpted the landscape.,"['erosion', 'landscape']",[]
The equator goes across the city.,"['equator', 'city']",[]
"At the tropics, night falls earlier in the summer.","['tropics', 'night', 'summer']",[]
Global warming is more important at the poles.,"['warming', 'poles']",[]
The coral and the medusa are two different steps of a different species.,"['coral', 'medusa', 'steps']",[]
The waterfall flows into space.,"['waterfall', 'space']",[]
"They did not manage to go swimming in the torrent, the water was freezing.","['torrent', 'water']",['They']
The valley is steep-sided,['valley'],[]
The stag took refuge in a grove.,"['stag', 'refuge', 'grove']",[]
The ship took shelter in the bay.,"['ship', 'shelter', 'bay']",[]
The trail goes across the dunes.,"['trail', 'dunes']",[]
The Gulf of Mexico is a biodiversity hotspot.,"['biodiversity', 'hotspot']",[]
The lagoon provides a home for numerous fishes species.,"['lagoon', 'home', 'fishes']",[]
The gold fish are swimming in the pond.,"['fish', 'pond']",[]
Bison herds are grazing in the meadow.,"['herds', 'meadow']",[]
The Italian peninsula is the scene of violent riots.,"['peninsula', 'scene', 'riots']",[]
"The ball fell into the ravine, I am not going to get it.","['ball', 'ravine']","['I', 'it']"
The swamp has been dried because of the malaria.,"['swamp', 'malaria']",[]
The bark of this tree has medicinal properties.,"['bark', 'tree', 'properties']",[]
The lunar eclipse will only be visible from the Northern hemisphere.,"['eclipse', 'hemisphere']",[]
The meteorite was destroyed when it entered the atmosphere.,"['meteorite', 'atmosphere']",['it']
The satellite is in orbit around the Earth.,"['satellite', 'orbit']",[]
The compass points North.,['compass'],[]
We have to go a little bit further South.,['bit'],['We']
The forest is one hundred kilometers East of the city.,"['forest', 'kilometers', 'city']",[]
France is West of Germany.,[],[]
The late frosts have spoilt the fruit trees.,"['frosts', 'fruit', 'trees']",[]
The pipe exploded because of the frost.,"['pipe', 'frost']",[]
A flash of lightning ripped off the sky.,"['flash', 'lightning', 'sky']",[]
Thunder is growling in the distance.,"['Thunder', 'distance']",[]
There was a rainbow after the rain.,"['rainbow', 'rain']",['There']
Mist floated above the river.,['river'],[]
The tornado took the roof off the house.,"['tornado', 'roof', 'house']",[]
Thousands of elderly people have died because of the heat wave.,"['Thousands', 'people', 'heat']",[]
The children are making sandcastles.,"['children', 'sandcastles']",[]
The estuary is the mouth of a river.,"['estuary', 'mouth', 'river']",[]
The ground water has been poisonned by fertilizers.,"['ground', 'water', 'fertilizers']",[]
You can find white bears at the North Pole.,['bears'],['You']
The polar night lasts for half the year at the South Pole.,"['night', 'year']",[]
Not everyone will agree on the merits of the Western pattern.,"['merits', 'pattern']",['everyone']
The Oriental part of the country is very different from its Western part.,"['part', 'country', 'part']",['its']
Northern steppes are slowly getting warmer.,['steppes'],[]
The Southern part of France is hit by dryness.,"['part', 'dryness']",[]
The lion is the uncontested master of the savannah.,"['lion', 'master']",[]
Do you want one or two fried eggs ?,['eggs'],['you']
We saw two cars hurtling past us.,['cars'],"['We', 'us']"
They got three children.,['children'],['They']
Four times two makes eight.,['times'],[]
Five plus six makes eleven.,[],[]
Eight minus six makes two.,[],[]
Seven plus two makes nine.,[],[]
Eight times two makes sixteen.,['times'],[]
He has nine tenth of the inheritance.,"['tenth', 'inheritance']",['He']
We have got ten minutes to finish this report.,"['minutes', 'report']",['We']
The train leaves at eleven sharp.,['train'],[]
He got twelve out of twenty at his last test.,['test'],"['He', 'his']"
The number thirteen is often considered unlicky.,['number'],[]
He celebrated his fourteenth birthday yesterday.,"['birthday', 'yesterday']","['He', 'his']"
We have to wait for fifteen minutes at least.,['minutes'],['We']
"With only fifteen players against sixteen, the opposite team could not win.","['players', 'team']",[]
Seventeen euros a kilo.,"['euros', 'kilo']",[]
He has just turned eighteen.,[],['He']
This is a nineteen persons group.,"['persons', 'group']",['This']
Who said that being twenty was the best years of your life ?,"['years', 'life']","['Who', 'that', 'your']"
He had twenty-one wives.,['wives'],['He']
He will be thirty soon.,[],['He']
"Forty years ago, nobody had a computer.","['years', 'computer']",['nobody']
Fifty percent of the population is in favor of the reform.,"['percent', 'population', 'favor']",[]
It is unadvisable to make children when you are sixty.,['children'],"['It', 'you']"
He is a bit older than seventy.,['bit'],['He']
Four times twenty makes eighty.,['times'],[]
He has done ninety percent of the work by himself.,"['percent', 'work']","['He', 'himself']"
One century is a hundred years.,"['century', 'years']",[]
Two thousand people have demonstrated against the reform of education.,"['people', 'reform', 'education']",[]
One million euros have been embezzled.,['euros'],[]
The world population is over seven billions now.,"['world', 'population', 'billions']",[]
It is the first time he is coming.,['time'],"['It', 'he']"
She is his second wife.,['wife'],"['She', 'his']"
We are going to Asia for the third time.,['time'],['We']
Take the fourth street on your left.,"['street', 'left']",['your']
He shifted into fifth gear.,['gear'],['He']
She is their sixth daughter.,['daughter'],"['She', 'their']"
He arrived in seventh position at this race.,"['position', 'race']",['He']
He is eight in his class.,['class'],"['He', 'his']"
He is opening the ninth bottle of the evening.,"['bottle', 'evening']",['He']
He is the tenth doctor he is going to.,['doctor'],"['He', 'he']"
He came twentieth out of fifty students.,['students'],['He']
I am telling you this for the hundredth time.,['time'],"['I', 'you', 'this']"
There were thousands of demonstrators.,"['thousands', 'demonstrators']",['There']
Around ten journalists have been taken hostages.,"['journalists', 'hostages']",[]
I bought a dozen eggs at the grocer's.,"['dozen', 'eggs', 'grocer']",['I']
There were only about a hundred demonstrators.,['demonstrators'],['There']
I have bought a pair of gloves.,"['pair', 'gloves']",['I']
The zero has been invented by the Arabs.,[],[]
Give me a glass of water.,"['glass', 'water']",['me']
Do you want to drink your coffee in a cup ?,"['coffee', 'cup']","['you', 'your']"
I always forget where to put the sauce pans away.,"['sauce', 'pans']",['I']
I do not know whether I should cook the onions in the pan or in the sauce pan.,"['onions', 'pan', 'sauce']","['I', 'I']"
Put the plates on the drainboard.,"['plates', 'drainboard']",[]
There is a wire fence on the window to dissuade thieves.,"['wire', 'fence', 'window']",['There']
You have to roll the dough with a rolling pin.,"['dough', 'pin']",['You']
You have to spread the plaster out with a spatula.,"['plaster', 'spatula']",['You']
I am looking for a sponge to clean the table.,"['sponge', 'table']",['I']
Clean the table with a tea towel after cleaning it with a sponge.,"['table', 'tea', 'towel']",['it']
You forgot to set the cutlery.,['cutlery'],['You']
The tablecloth is stained by drops of wine.,"['tablecloth', 'drops', 'wine']",[]
Re-heat that in the microwave.,"['Re', 'microwave']",[]
Stop playing with the matches.,['matches'],[]
The coffee maker is empty.,"['coffee', 'maker']",[]
"Usually, she serves tea in a China teapot.","['tea', 'teapot']",['she']
